"1","1","[2,1,1,4,2,3,5,5,5,4,5,5,2,4,3,5,1,1,2,2,1,4,4,3,4,3,2,5,3,5]"
"2","2","[""F"",""B"",""C"",""G"",""E"",""A"",""C"",""B"",""E"",""A"",""C"",""G"",""F"",""E"",""C"",""A"",""G"",""C"",""B"",""A"",""E"",""G"",""F"",""E""]"
"3","3","[""C"",""B"",""C"",""B"",""C"",""C""]"
"4","4","[""D"",""A"",""C"",""B"",""C"",""C""]"
"5","5","[2,3,1,1,0,3,0]"
"6","6","[""B"",""C"",""A"",""C"",""A"",""A"",""A"",""C""]"
"7","7","[""C"",""B"",""A"",""D"",""A"",""B"",""A"",""B"",""D""]"
"8","8","[0,1,3,0,0,2]"
"9","9","[2,1,3,0,2,3,0]"
"10","10","[""C"",""C"",""D"",""B"",""B"",""D"",""B""]"
"11","11","[""A"",""A"",""C"",""A"",""B"",""B"",""C""]"
"12","12","[""A"",""C"",""A"",""C"",""A"",""A"",""C""]"
"13","13","[2,3,2,2,0,3]"
"14","14","[2,3,3,0,1,2]"
"15","15","[1,2,1,2,2,0]"
"16","16","[1,2,2,0,0,1,0,1]"
"17","17","[1,2,2,1,0,1,1]"
"18","18","[1,0,1,0,1,0]"
"19","19","[2,3,0,1,3,2,2,3]"
"20","20","[""C"",""B"",""A"",""A"",""A"",""C"",""A"",""B""]"
"21","21","[0,2,2,1,2,1,0,2,2,0,2,1,1,2,0]"
"22","22","[""C"",""B"",""B"",""B"",""C"",""B"",""B"",""C""]"
"23","23","[0,1,1,2,3,0,2]"
